step	train_tch_3/train_loss
1	0.20768207429270996
2	0.1212097349527635
3	0.10382279028233729
4	0.09450874301163774
5	0.0877966620028019
6	0.0826319983523143
7	0.0754779894885264
8	0.06838315793950307
9	0.0637040862715558
10	0.060332284259953
11	0.057892885451254095
12	0.05472885042821106
13	0.051831927248521856
14	0.04770331535684435
15	0.04625790487778814
16	0.043955678022221514
17	0.0478198981206668
18	0.045471192778725376
19	0.04241224192082882
20	0.03783323017782286
21	0.03513307354756092
22	0.032669790579300174
